Sample DNA ID,Species,Location,Collection Site,Collection Date,Sample Type,Migration Category,Filtered RAD Alignments,Left Amplicon Alignments,Middle Amplicon Alignments,Right Amplicon Alignments,File ID,Notes
DNAA001_A01,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,72,210,180,11292,St_Ump_P_01_A01,
DNAA001_A02,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,960780,122,150,5608,St_Ump_P_01_A02,
DNAA001_A03,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,427266,72,156,8632,St_Ump_P_01_A03,
DNAA001_A04,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,714484,18,274,4230,St_Ump_P_01_A04,
DNAA001_A05,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,971770,24,106,4874,St_Ump_P_01_A05,
DNAA001_A06,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,339541,44,300,4836,St_Ump_P_01_A06,
DNAA001_A07,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,802235,98,452,9904,St_Ump_P_01_A07,
DNAA001_A08,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,853854,344,192,12472,St_Ump_P_01_A08,
DNAA001_A09,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,514472,1188,2482,29664,St_Ump_P_01_A09,
DNAA001_A10,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,527767,376,168,10018,St_Ump_P_01_A10,
DNAA001_A11,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,968101,90,228,11638,St_Ump_P_01_A11,
DNAA001_A12,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,969770,84,212,4800,St_Ump_P_01_A12,
DNAA001_B01,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,957380,0,0,2890,St_Ump_P_01_B01,
DNAA001_B02,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,455220,0,104,3044,St_Ump_P_01_B02,
DNAA001_B03,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,800939,24,0,4162,St_Ump_P_01_B03,
DNAA001_B04,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,703341,32,84,4866,St_Ump_P_01_B04,
DNAA001_B05,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,754898,76,130,6842,St_Ump_P_01_B05,
DNAA001_B06,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,639305,88,154,6046,St_Ump_P_01_B06,
DNAA001_B07,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,1050724,66,222,5724,St_Ump_P_01_B07,
DNAA001_B08,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,69670,50,302,3462,St_Ump_P_01_B08,
DNAA001_B09,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,686693,32,64,3340,St_Ump_P_01_B09,
DNAA001_B10,Steelhead,North Umpqua River,Rock Creek Hatchery,2011/01/25,Live Adult,Premature,n/a,84,30,2202,St_Ump_P_01_B10,
DNAA001_B11,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,599248,0,0,6220,St_Ump_M_01_B11,
DNAA001_B12,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,379901,22,22,3820,St_Ump_M_01_B12,
DNAA001_C01,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,606446,40,196,9234,St_Ump_M_01_C01,
DNAA001_C02,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,176464,46,186,9356,St_Ump_M_01_C02,
DNAA001_C03,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,498295,210,1138,26752,St_Ump_M_01_C03,Likely heterozygous at causative polymorphism
DNAA001_C04,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,326925,0,52,4528,St_Ump_M_01_C04,
DNAA001_C05,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,531543,0,34,3878,St_Ump_M_01_C05,
DNAA001_C06,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,646881,28,174,7400,St_Ump_M_01_C06,
DNAA001_C07,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,378854,0,0,4624,St_Ump_M_01_C07,
DNAA001_C08,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,367758,30,562,6494,St_Ump_M_01_C08,
DNAA001_C09,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,751507,144,244,15640,St_Ump_M_01_C09,
DNAA001_C10,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,748944,30,454,11100,St_Ump_M_01_C10,
DNAA001_C11,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,316080,94,304,18896,St_Ump_M_01_C11,
DNAA001_C12,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,456458,164,540,13882,St_Ump_M_01_C12,
DNAA001_D01,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,810358,56,70,10042,St_Ump_M_01_D01,
DNAA001_D02,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,671276,20,152,6372,St_Ump_M_01_D02,
DNAA001_D03,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,493698,26,110,7712,St_Ump_M_01_D03,
DNAA001_D04,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,505230,26,426,10044,St_Ump_M_01_D04,
DNAA001_D05,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,644596,94,538,27142,St_Ump_M_01_D05,
DNAA001_D06,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,979631,104,74,2860,St_Ump_M_01_D06,Likely heterozygous at causative polymorphism
DNAA001_D07,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,436014,0,280,13670,St_Ump_M_01_D07,
