sample,pop
ALSx001,ALS
ALSx002,ALS
ALSx003,ALS
ALSx004,ALS
ALSx005,ALS
ALSx006,ALS
ALSx007,ALS
ALSx008,ALS
ALSx009,ALS
ALSx010,ALS
ALSx011,ALS
ALSx012,ALS
ALSx013,ALS
ALSx014,ALS
ALSx015,ALS
ALSx016,ALS
ALSx017,ALS
ALSx018,ALS
ALSx019,ALS
ALSx020,ALS
ALSx021,ALS
ALSx022,ALS
ALSx023,ALS
ALSx024,ALS
ALSx025,ALS
ALSx026,ALS
ALSx027,ALS
ALSx028,ALS
ALSx029,ALS
ALSx030,ALS
ALSx031,ALS
ALSx032,ALS
ALSx033,ALS
ALSx034,ALS
ALSx035,ALS
ALSx036,ALS
ALSx037,ALS
ALSx038,ALS
ALSx039,ALS
ALSx040,ALS
ALSx041,ALS
ALSx042,ALS
ALSx043,ALS
BATx001,BAT
BATx002,BAT
BATx003,BAT
BATx004,BAT
BATx005,BAT
BATx006,BAT
BATx007,BAT
BATx008,BAT
BATx009,BAT
BATx010,BAT
BATx011,BAT
BATx012,BAT
BATx013,BAT
BATx014,BAT
BATx015,BAT
BATx016,BAT
BATx017,BAT
BATx018,BAT
BATx019,BAT
BATx020,BAT
BATx021,BAT
BATx022,BAT
BATx023,BAT
BATx024,BAT
BATx025,BAT
BATx026,BAT
BATx027,BAT
BATx028,BAT
BATx029,BAT
BATx030,BAT
BATx031,BAT
BATx032,BAT
BATx033,BAT
BATx034,BAT
BATx035,BAT
BATx036,BAT
BATx037,BAT
BATx038,BAT
BATx039,BAT
BATx040,BAT
BATx041,BAT
BATx042,BAT
CAPx001,CAP
CAPx002,CAP
CAPx003,CAP
CAPx004,CAP
CAPx005,CAP
CAPx006,CAP
CAPx007,CAP
CAPx008,CAP
CAPx009,CAP
CAPx010,CAP
CAPx011,CAP
CAPx012,CAP
CAPx013,CAP
CAPx014,CAP
CAPx015,CAP
CAPx016,CAP
CAPx017,CAP
CAPx018,CAP
CAPx019,CAP
CAPx020,CAP
CAPx021,CAP
CAPx022,CAP
CAPx023,CAP
CAPx024,CAP
CAPx025,CAP
CAPx026,CAP
CAPx027,CAP
CAPx028,CAP
CAPx029,CAP
CAPx030,CAP
CAPx031,CAP
CAPx032,CAP
CAPx033,CAP
CAPx034,CAP
CAPx035,CAP
CAPx036,CAP
CAPx037,CAP
CATx001,CAT
CATx002,CAT
CATx003,CAT
CATx004,CAT
CATx005,CAT
CATx006,CAT
CATx007,CAT
CATx008,CAT
CATx009,CAT
CATx010,CAT
CATx011,CAT
CATx012,CAT
CATx013,CAT
CATx014,CAT
CATx015,CAT
CATx016,CAT
CATx017,CAT
CATx018,CAT
CATx019,CAT
CATx020,CAT
CATx021,CAT
CATx022,CAT
CATx023,CAT
CATx024,CAT
CATx025,CAT
CATx026,CAT
CATx027,CAT
CATx028,CAT
CATx029,CAT
CATx030,CAT
CATx031,CAT
CATx032,CAT
CATx033,CAT
CATx034,CAT
CATx035,CAT
CATx036,CAT
CATx037,CAT
CATx038,CAT
CATx039,CAT
CATx040,CAT
CATx041,CAT
CATx042,CAT
CATx043,CAT
CLWx001,CLW
CLWx002,CLW
CLWx003,CLW
CLWx004,CLW
CLWx005,CLW
CLWx006,CLW
CLWx007,CLW
CLWx008,CLW
CLWx009,CLW
CLWx010,CLW
CLWx011,CLW
CLWx012,CLW
CLWx013,CLW
CLWx014,CLW
CLWx015,CLW
CLWx016,CLW
CLWx017,CLW
CLWx018,CLW
CLWx019,CLW
CLWx020,CLW
CLWx021,CLW
CLWx022,CLW
CLWx023,CLW
CLWx024,CLW
CLWx025,CLW
CLWx026,CLW
CLWx027,CLW
CLWx028,CLW
CLWx029,CLW
CLWx030,CLW
CLWx031,CLW
CLWx032,CLW
CLWx033,CLW
COLx001,COL
COLx002,COL
COLx003,COL
COLx004,COL
COLx005,COL
COLx006,COL
COLx007,COL
COLx008,COL
COLx009,COL
COLx010,COL
COLx011,COL
COLx012,COL
COLx013,COL
COLx014,COL
COLx015,COL
COLx016,COL
COLx017,COL
COLx018,COL
COLx019,COL
COLx020,COL
COLx021,COL
COLx022,COL
COLx023,COL
COLx024,COL
COLx025,COL
COLx026,COL
COLx027,COL
COLx028,COL
COLx029,COL
COLx030,COL
COLx031,COL
COLx032,COL
COLx033,COL
COLx034,COL
COLx035,COL
COLx036,COL
COLx037,COL
COLx038,COL
COLx039,COL
COLx040,COL
COLx041,COL
COLx042,COL
COLx043,COL
COLx044,COL
COLx045,COL
COLx046,COL
COWx001,COW
COWx002,COW
COWx003,COW
COWx004,COW
COWx005,COW
COWx006,COW
COWx007,COW
COWx008,COW
COWx009,COW
COWx010,COW
COWx011,COW
COWx012,COW
COWx013,COW
COWx014,COW
COWx015,COW
COWx016,COW
COWx017,COW
COWx018,COW
COWx019,COW
COWx020,COW
COWx021,COW
COWx022,COW
COWx023,COW
COWx024,COW
COWx025,COW
COWx026,COW
COWx027,COW
COWx028,COW
COWx029,COW
COWx030,COW
COWx031,COW
COWx032,COW
COWx033,COW
COWx034,COW
COWx035,COW
COWx036,COW
COWx037,COW
COWx038,COW
COWx039,COW
COWx040,COW
COWx041,COW
COWx042,COW
COWx043,COW
COWx044,COW
COWx045,COW
DESx001,DES
DESx002,DES
DESx003,DES
DESx004,DES
DESx005,DES
DESx006,DES
DESx007,DES
DESx008,DES
DESx009,DES
DESx010,DES
DESx011,DES
DESx012,DES
DESx013,DES
DESx014,DES
DESx015,DES
DESx016,DES
DESx017,DES
DESx018,DES
DESx019,DES
DESx020,DES
DESx021,DES
DESx022,DES
DESx023,DES
DESx024,DES
DESx025,DES
DESx026,DES
DESx027,DES
DESx028,DES
EELx001,EEL
EELx002,EEL
EELx003,EEL
EELx004,EEL
EELx005,EEL
EELx006,EEL
EELx007,EEL
EELx008,EEL
EELx009,EEL
EELx010,EEL
EELx011,EEL
EELx012,EEL
EELx013,EEL
EELx014,EEL
EELx015,EEL
EELx016,EEL
EELx017,EEL
EELx018,EEL
EELx019,EEL
EELx020,EEL
EELx021,EEL
EELx022,EEL
EELx023,EEL
EELx024,EEL
EELx025,EEL
EELx026,EEL
EELx027,EEL
EELx028,EEL
EELx029,EEL
EELx030,EEL
EELx031,EEL
EELx032,EEL
EELx033,EEL
EELx034,EEL
GEOx001,GEO
GEOx002,GEO
GEOx003,GEO
GEOx004,GEO
GEOx005,GEO
GEOx006,GEO
GEOx007,GEO
GEOx008,GEO
GEOx009,GEO
GEOx010,GEO
GEOx011,GEO
GEOx012,GEO
GEOx013,GEO
GEOx014,GEO
GEOx015,GEO
GEOx016,GEO
GEOx017,GEO
GEOx018,GEO
GEOx019,GEO
GEOx020,GEO
GEOx021,GEO
GEOx022,GEO
GEOx023,GEO
GEOx024,GEO
GEOx025,GEO
GEOx026,GEO
GEOx027,GEO
GEOx028,GEO
GEOx029,GEO
GEOx030,GEO
GEOx031,GEO
GEOx032,GEO
GEOx033,GEO
GEOx034,GEO
GEOx035,GEO
GEOx036,GEO
GEOx037,GEO
GEOx038,GEO
GEOx039,GEO
GEOx040,GEO
GEOx041,GEO
GEOx042,GEO
GEOx043,GEO
GEOx044,GEO
GEOx045,GEO
GEOx046,GEO
GEOx047,GEO
IMNx001,IMN
IMNx002,IMN
IMNx003,IMN
IMNx004,IMN
IMNx005,IMN
IMNx006,IMN
IMNx007,IMN
IMNx008,IMN
IMNx009,IMN
IMNx010,IMN
IMNx011,IMN
IMNx012,IMN
IMNx013,IMN
IMNx014,IMN
IMNx015,IMN
IMNx016,IMN
IMNx017,IMN
IMNx018,IMN
IMNx019,IMN
IMNx020,IMN
IMNx021,IMN
IMNx022,IMN
IMNx023,IMN
IMNx024,IMN
IMNx025,IMN
IMNx026,IMN
IMNx027,IMN
IMNx028,IMN
IMNx029,IMN
IMNx030,IMN
IMNx031,IMN
IMNx032,IMN
IMNx033,IMN
IMNx034,IMN
IMNx035,IMN
IMNx036,IMN
IMNx037,IMN
IMNx038,IMN
IMNx039,IMN
IMNx040,IMN
IMNx041,IMN
IMNx042,IMN
IMNx043,IMN
IMNx044,IMN
IMNx045,IMN
IMNx046,IMN
IMNx047,IMN
IMNx048,IMN
JDRx001,JDR
JDRx002,JDR
JDRx003,JDR
JDRx004,JDR
JDRx005,JDR
JDRx006,JDR
JDRx007,JDR
JDRx008,JDR
JDRx009,JDR
JDRx010,JDR
JDRx011,JDR
JDRx012,JDR
JOCx001,JOC
JOCx002,JOC
JOCx003,JOC
JOCx004,JOC
JOCx005,JOC
JOCx006,JOC
JOCx007,JOC
JOCx008,JOC
JOCx009,JOC
JOCx010,JOC
JOCx011,JOC
JOCx012,JOC
JOCx013,JOC
JOCx014,JOC
JOCx015,JOC
JOCx016,JOC
JOCx017,JOC
JOCx018,JOC
JOCx019,JOC
JOCx020,JOC
JOCx021,JOC
JOCx022,JOC
JOCx023,JOC
JOCx024,JOC
JOCx025,JOC
JOCx026,JOC
JOCx027,JOC
JOCx028,JOC
JOCx029,JOC
JOCx030,JOC
JOCx031,JOC
JOCx032,JOC
JOCx033,JOC
JOCx034,JOC
JOCx035,JOC
JOCx036,JOC
JOCx037,JOC
JOCx038,JOC
JOCx039,JOC
JOCx040,JOC
JOCx041,JOC
JOCx042,JOC
JOCx043,JOC
JOCx044,JOC
JOCx045,JOC
JOCx046,JOC
JOCx047,JOC
JOCx048,JOC
JOCx049,JOC
JOCx050,JOC
JOCx051,JOC
JOCx052,JOC
JOCx053,JOC
JOCx054,JOC
JOCx055,JOC
JOCx056,JOC
JOCx057,JOC
JOCx058,JOC
JOCx059,JOC
JOCx060,JOC
JOCx061,JOC
JOCx062,JOC
JOCx063,JOC
JOCx064,JOC
JOCx065,JOC
JOCx066,JOC
JOCx067,JOC
JOCx068,JOC
KLAx001,KLA
KLAx002,KLA
KLAx003,KLA
KLAx004,KLA
KLAx005,KLA
KLAx006,KLA
KLAx007,KLA
KLAx008,KLA
KLAx009,KLA
KLAx010,KLA
KLAx011,KLA
KLAx012,KLA
KLAx013,KLA
KLAx014,KLA
KLAx015,KLA
KLAx016,KLA
KLAx017,KLA
KLAx018,KLA
KLAx019,KLA
KLAx020,KLA
KLAx021,KLA
KLAx022,KLA
KLAx023,KLA
KLAx024,KLA
KLAx025,KLA
KLAx026,KLA
KLAx027,KLA
KLAx028,KLA
KLAx029,KLA
KLAx030,KLA
KLAx031,KLA
KLAx032,KLA
KLAx033,KLA
KLAx034,KLA
KLAx035,KLA
KLAx036,KLA
KLAx037,KLA
KLAx038,KLA
KARx001,KAR
KARx002,KAR
KARx003,KAR
KARx004,KAR
KARx005,KAR
KARx006,KAR
KARx007,KAR
KARx008,KAR
KARx009,KAR
KARx010,KAR
KARx011,KAR
KARx012,KAR
KARx013,KAR
KARx014,KAR
KARx015,KAR
KARx016,KAR
KARx017,KAR
KARx018,KAR
KARx019,KAR
KARx020,KAR
KARx021,KAR
KARx022,KAR
KARx023,KAR
KARx024,KAR
KARx025,KAR
KARx026,KAR
KARx027,KAR
KARx028,KAR
KARx029,KAR
KARx030,KAR
KARx031,KAR
KARx032,KAR
KARx033,KAR
KARx034,KAR
KARx035,KAR
KARx036,KAR
KARx037,KAR
KARx038,KAR
KARx039,KAR
KARx040,KAR
KARx041,KAR
KNKx001,KNK
KNKx002,KNK
KNKx003,KNK
KNKx004,KNK
KNKx005,KNK
KNKx006,KNK
KNKx007,KNK
KNKx008,KNK
KNKx009,KNK
KNKx010,KNK
KNKx011,KNK
KNKx012,KNK
KNKx013,KNK
KNKx014,KNK
KNKx015,KNK
KNKx016,KNK
KNKx017,KNK
KNKx018,KNK
KNKx019,KNK
KNKx020,KNK
KNKx021,KNK
KNKx022,KNK
KNKx023,KNK
KNKx024,KNK
KNKx025,KNK
KNKx026,KNK
KNKx027,KNK
KNKx028,KNK
KNKx029,KNK
KNKx030,KNK
KNKx031,KNK
KNKx032,KNK
KNKx033,KNK
KNKx034,KNK
KNKx035,KNK
KNKx036,KNK
KNKx037,KNK
KNKx038,KNK
KNKx039,KNK
KNKx040,KNK
KNKx041,KNK
KNKx042,KNK
KNKx043,KNK
KNKx044,KNK
KNKx045,KNK
KNKx046,KNK
KNKx047,KNK
KTSx001,KTS
KTSx002,KTS
KTSx003,KTS
KTSx004,KTS
KTSx005,KTS
KTSx006,KTS
KTSx007,KTS
KTSx008,KTS
KTSx009,KTS
KTSx010,KTS
KTSx011,KTS
KTSx012,KTS
KTSx013,KTS
KTSx014,KTS
KTSx015,KTS
KTSx016,KTS
KTSx017,KTS
KTSx018,KTS
KTSx019,KTS
KTSx020,KTS
KTSx021,KTS
KTSx022,KTS
KTSx023,KTS
KTSx024,KTS
KTSx025,KTS
KTSx026,KTS
KTSx027,KTS
KTSx028,KTS
KTSx029,KTS
KTSx030,KTS
KTSx031,KTS
KTSx032,KTS
KTSx033,KTS
KTSx034,KTS
KTSx035,KTS
KTSx036,KTS
KTSx037,KTS
KTSx038,KTS
KTSx039,KTS
KTSx040,KTS
KTSx041,KTS
KTSx042,KTS
LYOx001,LYO
LYOx002,LYO
LYOx003,LYO
LYOx004,LYO
LYOx005,LYO
LYOx006,LYO
LYOx007,LYO
LYOx008,LYO
LYOx009,LYO
LYOx010,LYO
LYOx011,LYO
LYOx012,LYO
LYOx013,LYO
LYOx014,LYO
LYOx015,LYO
LYOx016,LYO
LYOx017,LYO
LYOx018,LYO
LYOx019,LYO
LYOx020,LYO
LYOx021,LYO
LYOx022,LYO
LYOx023,LYO
LYOx024,LYO
LYOx025,LYO
LYOx026,LYO
LYOx027,LYO
LYOx028,LYO
LYOx029,LYO
LYOx030,LYO
LYOx031,LYO
LYOx032,LYO
LYOx033,LYO
LYOx034,LYO
LYOx035,LYO
LYOx036,LYO
LYOx037,LYO
LYOx038,LYO
LYOx039,LYO
LYOx040,LYO
LYOx041,LYO
LYOx042,LYO
LYOx043,LYO
LYOx044,LYO
LYOx045,LYO
LYOx046,LYO
LYOx047,LYO
LYOx048,LYO
MBTx001,MBT
MBTx002,MBT
MBTx003,MBT
MBTx004,MBT
MBTx005,MBT
MBTx006,MBT
MBTx007,MBT
MBTx008,MBT
MBTx009,MBT
MBTx010,MBT
MBTx011,MBT
MBTx012,MBT
MBTx013,MBT
MBTx014,MBT
MBTx015,MBT
MBTx016,MBT
