sample,pop
Anvik07_0001,Anvik
Anvik07_0003,Anvik
Anvik07_0004,Anvik
Anvik07_0005,Anvik
Anvik07_0007,Anvik
Anvik07_0009_combo,Anvik
Anvik07_0010_combo,Anvik
Anvik07_0011,Anvik
Anvik07_0012,Anvik
Anvik07_0013,Anvik
Anvik07_0014,Anvik
Anvik07_0015,Anvik
Anvik07_0016,Anvik
Anvik07_0017,Anvik
Anvik07_0018,Anvik
Anvik07_0022,Anvik
Anvik07_0024,Anvik
Anvik07_0025_combo,Anvik
Anvik07_0026,Anvik
Anvik07_0028,Anvik
Anvik07_0029,Anvik
Anvik07_0030_combo,Anvik
Anvik07_0031_combo,Anvik
Anvik07_0032,Anvik
Anvik07_0036,Anvik
Anvik07_0037_combo,Anvik
Anvik07_0038,Anvik
Anvik07_0039_combo,Anvik
Anvik07_0040,Anvik
Anvik07_0041,Anvik
Anvik07_0042,Anvik
Anvik07_0043,Anvik
Anvik07_0044,Anvik
Anvik07_0045,Anvik
Anvik07_0046,Anvik
Anvik07_0047,Anvik
Anvik07_0049,Anvik
Anvik07_0050,Anvik
Anvik07_0051,Anvik
Anvik07_0052,Anvik
Anvik07_0054,Anvik
Anvik07_0055,Anvik
Anvik07_0056,Anvik
Anvik07_0057,Anvik
Anvik07_0058,Anvik
Anvik07_0059,Anvik
Anvik07_0060,Anvik
Anvik07_0061,Anvik
Anvik07_0062,Anvik
Bigsalmon07_0002_combo,Bigsalmon
Bigsalmon07_0003,Bigsalmon
Bigsalmon07_0004,Bigsalmon
Bigsalmon07_0005,Bigsalmon
Bigsalmon07_0006_combo,Bigsalmon
Bigsalmon07_0007,Bigsalmon
Bigsalmon07_0009,Bigsalmon
Bigsalmon07_0010,Bigsalmon
Bigsalmon07_0011,Bigsalmon
Bigsalmon07_0013_combo,Bigsalmon
Bigsalmon07_0015,Bigsalmon
Bigsalmon07_0016,Bigsalmon
Bigsalmon07_0017,Bigsalmon
Bigsalmon07_0018,Bigsalmon
Bigsalmon07_0019,Bigsalmon
Bigsalmon07_0020,Bigsalmon
Bigsalmon07_0021,Bigsalmon
Bigsalmon07_0022,Bigsalmon
Bigsalmon07_0023,Bigsalmon
Bigsalmon07_0024,Bigsalmon
Bigsalmon07_0025,Bigsalmon
Bigsalmon07_0027,Bigsalmon
Bigsalmon07_0028,Bigsalmon
Bigsalmon07_0029,Bigsalmon
Bigsalmon07_0030,Bigsalmon
Bigsalmon07_0031,Bigsalmon
Bigsalmon07_0032,Bigsalmon
Bigsalmon07_0033,Bigsalmon
Bigsalmon07_0034,Bigsalmon
Bigsalmon07_0035,Bigsalmon
Bigsalmon07_0036,Bigsalmon
Bigsalmon07_0038_combo,Bigsalmon
Bigsalmon07_0039,Bigsalmon
Bigsalmon07_0040,Bigsalmon
Bigsalmon07_0042,Bigsalmon
Bigsalmon07_0043,Bigsalmon
Bigsalmon07_0045,Bigsalmon
Bigsalmon07_0046,Bigsalmon
Bigsalmon07_0047,Bigsalmon
Bigsalmon07_0048,Bigsalmon
Bigsalmon07_0049,Bigsalmon
Bigsalmon07_0050,Bigsalmon
Bigsalmon07_0057,Bigsalmon
Bigsalmon07_0058,Bigsalmon
Bigsalmon07_0062,Bigsalmon
Bigsalmon07_0074,Bigsalmon
Bigsalmon07_0077,Bigsalmon
Kogrukluk07_0005_combo,Kogrukluk
Kogrukluk07_0006,Kogrukluk
Kogrukluk07_0007,Kogrukluk
Kogrukluk07_0008,Kogrukluk
Kogrukluk07_0009,Kogrukluk
Kogrukluk07_0010,Kogrukluk
Kogrukluk07_0011_combo,Kogrukluk
Kogrukluk07_0013,Kogrukluk
Kogrukluk07_0014,Kogrukluk
Kogrukluk07_0015_combo,Kogrukluk
Kogrukluk07_0016,Kogrukluk
Kogrukluk07_0017,Kogrukluk
Kogrukluk07_0018,Kogrukluk
Kogrukluk07_0019,Kogrukluk
Kogrukluk07_0021,Kogrukluk
Kogrukluk07_0022,Kogrukluk
Kogrukluk07_0023,Kogrukluk
Kogrukluk07_0024,Kogrukluk
Kogrukluk07_0025_combo,Kogrukluk
Kogrukluk07_0027,Kogrukluk
Kogrukluk07_0028,Kogrukluk
Kogrukluk07_0029,Kogrukluk
Kogrukluk07_0030,Kogrukluk
Kogrukluk07_0031,Kogrukluk
Kogrukluk07_0032,Kogrukluk
Kogrukluk07_0033,Kogrukluk
Kogrukluk07_0034,Kogrukluk
Kogrukluk07_0035,Kogrukluk
Kogrukluk07_0036,Kogrukluk
Kogrukluk07_0037,Kogrukluk
Kogrukluk07_0038,Kogrukluk
Kogrukluk07_0039,Kogrukluk
Kogrukluk07_0040,Kogrukluk
Kogrukluk07_0041,Kogrukluk
Kogrukluk07_0042,Kogrukluk
Kogrukluk07_0043_combo,Kogrukluk
Kogrukluk07_0044,Kogrukluk
Kogrukluk07_0045,Kogrukluk
Kogrukluk07_0046,Kogrukluk
Kogrukluk07_0047,Kogrukluk
Kogrukluk07_0048,Kogrukluk
Kogrukluk07_0049,Kogrukluk
Kogrukluk07_0050,Kogrukluk
Kogrukluk07_0051,Kogrukluk
Kogrukluk07_0052,Kogrukluk
Kogrukluk07_0053,Kogrukluk
Kogrukluk07_0054,Kogrukluk
Kogrukluk07_0055,Kogrukluk
Kogrukluk07_0056,Kogrukluk
Kogrukluk07_0057,Kogrukluk
Kogrukluk07_0058,Kogrukluk
Kogrukluk07_0059,Kogrukluk
Kogrukluk07_0060,Kogrukluk
Kogrukluk07_0061,Kogrukluk
Kogrukluk07_0062,Kogrukluk
Kogrukluk07_0063,Kogrukluk
Kogrukluk07_0064,Kogrukluk
Koktuli10_0002,Koktuli
Koktuli10_0003,Koktuli
Koktuli10_0004,Koktuli
Koktuli10_0005,Koktuli
Koktuli10_0006,Koktuli
Koktuli10_0008,Koktuli
Koktuli10_0009,Koktuli
Koktuli10_0010,Koktuli
Koktuli10_0011,Koktuli
Koktuli10_0012,Koktuli
Koktuli10_0014_combo,Koktuli
Koktuli10_0015_combo,Koktuli
Koktuli10_0017,Koktuli
Koktuli10_0019,Koktuli
Koktuli10_0020,Koktuli
Koktuli10_0021,Koktuli
Koktuli10_0023_combo,Koktuli
Koktuli10_0024,Koktuli
Koktuli10_0025,Koktuli
Koktuli10_0026_combo,Koktuli
Koktuli10_0027,Koktuli
Koktuli10_0028,Koktuli
Koktuli10_0029,Koktuli
Koktuli10_0031,Koktuli
Koktuli10_0032,Koktuli
Koktuli10_0033,Koktuli
Koktuli10_0034,Koktuli
Koktuli10_0036,Koktuli
Koktuli10_0037,Koktuli
Koktuli10_0040,Koktuli
Koktuli10_0042,Koktuli
Koktuli10_0044,Koktuli
Koktuli10_0045,Koktuli
Koktuli10_0046,Koktuli
Koktuli10_0048,Koktuli
Koktuli10_0049,Koktuli
Koktuli10_0053,Koktuli
Koktuli10_0057,Koktuli
Koktuli10_0059,Koktuli
Koktuli10_0062,Koktuli
Koktuli10_0063,Koktuli
Koktuli10_0064,Koktuli
Koktuli10_0065,Koktuli
Koktuli10_0066,Koktuli
Koktuli10_0067,Koktuli
Koktuli10_0069,Koktuli
Koktuli10_0070,Koktuli
Koktuli10_0071,Koktuli
Koktuli10_0075,Koktuli
Koktuli10_0077,Koktuli
Koktuli10_0078,Koktuli
Koktuli10_0081,Koktuli
Koktuli10_0082,Koktuli
Koktuli10_0084,Koktuli
Koktuli10_0088,Koktuli
Koktuli10_0093,Koktuli
Tubutulik09_0001,Tubutulik
Tubutulik09_0002,Tubutulik
Tubutulik09_0003,Tubutulik
Tubutulik09_0004,Tubutulik
Tubutulik09_0005,Tubutulik
Tubutulik09_0006,Tubutulik
Tubutulik09_0007,Tubutulik
Tubutulik09_0008,Tubutulik
Tubutulik09_0009,Tubutulik
Tubutulik09_0010,Tubutulik
Tubutulik09_0011,Tubutulik
